id_municipio,ano,populacao
2101301,2004,17184
2111789,2004,9121
2103505,2005,38596
2104628,2005,7194
2105427,2005,24927
2108256,2005,20470
2110302,2005,14672
2111631,2005,7554
2111904,2005,10624
2112902,2005,31027
2113009,2005,31290
2100402,2006,7129
2101772,2006,9922
2101905,2006,20988
2104404,2006,17795
2109452,2006,22591
2103802,2007,22883
2105450,2007,7559
2105658,2007,5339
2106300,2007,16917
2109908,2007,82065
2102036,2008,26223
2104677,2008,26497
2111748,2008,10037
2112308,2008,39283
2102556,2009,13496
2103174,2009,19373
2104057,2009,34981
2106375,2009,13228
2102150,2010,11006
2104503,2010,10255
2105807,2010,10535
2107902,2010,17694
2108454,2010,21354
2103109,2011,10444
2101905,2012,21013
2103257,2012,13888
2106607,2012,32360
2108207,2012,39616
2102408,2013,10864
2102705,2013,21286
2105153,2013,13066
2106805,2013,14436
2112274,2013,5751
2102309,2014,23337
2106359,2014,7834
2109759,2014,7208
2110005,2014,68715
2111672,2014,5783
2111722,2014,11551
2112001,2014,8247
2112605,2014,31271
2100600,2015,38948
2101301,2015,17454
2102101,2015,34995
2105963,2015,11055
2106631,2015,15444
2110237,2015,11589
2110278,2015,14302
2106326,2016,20468
2106706,2016,21228
2106805,2016,14477
2106904,2016,30594
2109304,2016,11085
2110104,2016,24781
2101509,2017,18534
2101772,2017,11334
2102150,2017,10218
2107803,2017,33344
2109908,2017,87074
2110708,2017,34855
2101608,2018,86690
2102507,2018,17792
2102606,2018,20006
2104701,2018,6215
2110401,2018,18881
2106300,2019,15537
2110708,2019,35108
2100832,2020,17344
2101350,2020,5446
2102002,2020,36190
2102200,2020,30091
2109205,2020,11749
2110039,2020,24918
2111409,2020,18954
2111532,2020,14122
2106201,2021,7243
2108256,2021,24731
2110658,2021,8027
2100808,2022,14199
2103505,2022,41693
2107209,2022,14303
2109403,2022,14058
2110906,2022,12378
2111805,2022,17548
2112209,2022,179367
2112233,2022,22867
2101905,2023,20121
2102705,2023,24679
2102903,2023,24726
2107357,2023,14826
2107407,2023,18393
2109270,2023,17927
2111789,2023,10422
2112803,2023,53006
2105153,2002,9934
2106300,2002,14717
2106706,2002,20630
2107506,2002,79356
2107704,2002,19082
2110104,2002,22418
2110609,2002,24165
2110807,2002,5247
2111201,2002,122876
2104628,2003,7056
2108900,2003,24470
2111201,2003,127221
2101806,2004,5483
2103802,2004,22807
2104107,2004,12326
2105427,2004,24805
2106409,2004,13207
2107308,2004,4678
2100501,2005,10645
2103000,2005,152141
2103158,2005,8215
2106300,2005,16034
2108306,2005,34238
2108504,2005,30573
2110609,2005,25155
2109007,2006,19791
2110104,2006,23396
2110278,2006,12279
2111672,2006,5576
2114007,2006,49126
2101905,2007,21009
2102507,2007,18513
2106805,2007,14185
2100105,2008,5717
2102002,2008,39867
2104503,2008,10037
2108504,2008,31191
2109809,2008,36835
2111102,2008,24780
2100154,2009,11454
2101509,2009,17354
2102507,2009,18689
2105807,2009,10531
2107506,2009,99876
2112803,2009,49497
2101350,2011,5366
2101509,2011,17616
2102200,2011,27356
2102358,2011,15080
2105948,2011,8969
2110500,2011,41055
2112274,2011,5709
2104305,2012,10409
2105104,2012,25717
2111789,2012,9819
2101509,2013,17884
2103109,2013,10495
2105427,2013,25044
2105708,2013,46860
2108504,2013,32056
2104073,2014,8257
2107209,2014,13317
2107357,2014,18327
2110500,2015,43294
2111706,2015,20922
2111763,2015,14923
2100402,2016,7155
2100550,2016,6936
2107100,2016,18688
2105351,2017,14382
2110237,2017,11431
2100956,2018,29111
2103752,2018,13945
2102507,2019,17642
2106805,2019,14462
2106904,2019,29989
2111300,2019,1076177
2111409,2019,19130
2111672,2019,5168
2102358,2020,13855
2104081,2020,10646
2104701,2020,6230
2110807,2020,4611
2114007,2020,44608
2102374,2021,9770
2103174,2021,17258
2105963,2021,11564
2110005,2021,62275
2111706,2021,20323
2100477,2022,27374
2105104,2022,25536
2106326,2022,21444
2111300,2022,1086497
2100436,2023,24705
2104909,2023,10608
2111250,2023,7144
2113009,2023,31981
2104701,2002,6309
2106201,2002,6022
2108058,2002,12229
2108256,2002,19242
2100907,2003,39053
2102036,2003,20270
2107357,2003,17829
2111029,2003,17440
2111250,2003,7726
2111748,2003,9288
2109700,2004,5498
2102325,2005,61270
2102408,2005,10394
2104404,2005,17821
2110500,2005,36888
2105906,2006,15286
2108454,2006,20019
2110609,2006,25506
2105351,2007,13508
2105989,2007,6680
2107100,2007,17177
2112209,2007,150019
2100956,2008,32488
2103125,2008,7716
2103406,2008,47254
2105609,2008,15762
2106672,2008,8096
2108207,2008,39929
2108256,2008,21850
2110005,2008,71632
2101350,2009,5314
2105609,2009,15790
2107605,2009,18613
2100105,2010,5910
2100436,2010,25485
2104552,2010,15668
2105450,2010,8502
2109403,2010,14047
2110658,2010,6974
2101608,2011,83708
2105500,2011,24222
2109759,2012,7233
2111532,2012,12373
2102200,2013,28086
2106375,2013,13772
2110302,2013,14545
2105427,2014,24901
2107100,2014,18453
2112803,2014,51007
2102556,2015,13319
2105203,2015,10671
2106375,2015,13803
2108801,2015,18280
2101509,2016,18378
2104099,2016,17902
2112506,2016,54690
2112852,2016,11189
2106409,2017,16623
2109759,2017,7136
2111052,2017,10662
2112704,2017,48144
2102036,2018,29621
2108058,2018,16445
2100105,2019,6268
2102408,2019,10721
2106375,2019,13981
2108405,2019,12427
2110237,2019,11284
2111748,2019,10481
2100402,2020,6887
2101707,2020,65044
2103257,2020,13499
2110609,2020,28013
2100436,2021,25032
2101103,2021,12102
2102606,2021,20290
2104677,2021,24345
2104909,2021,10910
2107100,2021,18969
2108504,2021,32671
2111631,2021,5905
2112407,2021,38221
2102804,2022,24698
2105302,2022,281061
2108405,2022,11731
2109502,2022,22532
2110807,2022,4557
2111029,2022,12987
2100907,2023,40614
2101939,2023,5975
2103257,2023,13250
2104651,2023,10972
2105450,2023,7670
2106102,2023,11889
2106805,2023,14334
2110906,2023,12365
2112001,2023,9029
2111672,2002,4971
2106755,2003,19074
2100436,2004,23174
2104701,2004,6288
2109007,2004,18916
2111250,2004,7713
2111409,2004,22001
2104503,2005,9626
2105922,2005,10955
2107407,2005,18488
2107456,2005,11852
2103208,2006,69188
2101251,2007,13557
2103307,2007,119133
2112001,2007,7397
2104073,2008,8135
2104305,2008,9649
2105401,2008,61038
2109205,2008,11252
2110609,2008,26138
2103000,2009,156471
2103307,2009,119778
2105153,2009,12193
2108702,2009,22628
2112506,2009,52151
2103554,2010,14447
2106805,2010,14358
2109205,2010,11584
2109908,2010,83845
2111003,2010,20290
2111763,2010,14673
2102374,2011,8535
2103174,2011,19482
2106631,2011,13885
2108306,2011,35890
2111953,2011,5486
2100154,2012,11809
2102325,2012,66356
2104628,2012,7427
2104677,2012,25903
2105948,2012,8976
2106706,2012,20796
2109551,2012,7452
2111078,2012,17600
2106631,2013,14661
2111706,2013,21062
2102556,2014,13387
2104057,2014,36338
2105351,2014,14386
2105609,2014,15724
2111409,2014,19803
2102507,2015,18232
2105104,2015,25954
2106003,2015,11636
2106672,2015,8663
2111607,2015,18288
2103505,2016,40927
2110203,2016,35681
2111805,2016,17464
2100907,2017,42522
2102754,2017,11354
2104701,2017,6215
2106102,2017,11888
2108306,2017,35000
2103802,2018,23511
2107407,2018,18718
2108009,2018,19045
2108603,2018,84439
2111532,2018,13736
2101202,2019,106150
2106631,2019,16662
2107258,2019,5153
2111763,2019,15076
2105104,2020,25767
2105351,2020,14346
2110401,2020,18875
2110500,2020,46213
2111763,2020,15105
2105427,2021,23601
2106508,2021,22695
2107456,2021,13926
2102556,2022,12757
2104057,2022,34844
2105153,2022,14216
2106508,2022,22647
2107100,2022,18976
2111748,2022,10477
2100154,2023,12423
2103174,2023,16755
2103901,2023,10494
2105401,2023,62497
2105948,2023,8990
2107308,2023,4415
2107506,2023,148800
2111953,2023,5107
2112605,2023,33832
2100204,2002,22147
2102150,2002,14389
2102754,2002,10842
2105906,2002,14852
2111409,2002,22687
2105989,2003,6242
2101202,2004,97648
2109551,2004,7017
2111706,2004,20069
2100055,2005,99406
2100436,2005,23579
2102002,2005,38846
2105005,2005,24322
2106706,2005,20650
2109403,2005,12838
2111052,2005,10975
2107407,2006,18607
2111607,2006,16704
2112233,2006,19635
2106102,2007,11304
2108256,2007,21401
2110302,2007,14606
2110401,2007,17611
2108009,2008,17714
2106102,2009,11459
2107407,2009,18835
2100402,2010,7525
2100956,2010,32349
2104206,2010,17414
2104305,2010,10213
2110237,2010,11744
2112803,2010,49771
2103307,2011,120227
2105450,2011,8617
2112605,2011,29790
2112852,2011,11365
2102374,2012,8682
2107100,2012,18171
2110906,2012,12036
2100154,2013,11891
2101400,2013,87748
2101806,2013,5514
2102507,2013,18464
2104552,2013,16518
2106904,2013,31081
2103802,2014,23242
2104081,2014,9728
2104552,2014,16781
2108306,2014,35520
2110278,2014,14229
2104057,2015,36235
2107605,2015,19971
2111631,2015,6101
2112605,2015,31726
2103802,2016,23402
2104800,2016,68771
2106805,2017,14468
2109452,2017,29257
2110302,2017,14667
2100808,2018,14327
2106672,2018,8869
2109056,2018,6171
2111300,2018,1070992
2101970,2019,7680
2103604,2019,62568
2105427,2019,24004
2109205,2019,11779
2109700,2019,5702
2110039,2019,24896
2111805,2019,17545
2112308,2019,38726
2100204,2020,19929
2101004,2020,30335
2101509,2020,19059
2105302,2020,276428
2101251,2021,17007
2102150,2021,9769
2103109,2021,10548
2103307,2021,119840
2106409,2021,17195
2106805,2021,14423
2111904,2021,10576
2103174,2022,17013
2103752,2022,14533
2106755,2022,24640
2107001,2022,9402
2111003,2022,19229
2104628,2023,7245
2105153,2023,14275
2105963,2023,11655
2109452,2023,31666
2100477,2002,32638
2100907,2002,38413
2102077,2002,12716
2109502,2002,21502
2100303,2003,20750
2104602,2003,13431
2108405,2003,14022
2110807,2003,5176
2103604,2004,60243
2110401,2004,17275
2100402,2005,6984
2105989,2005,6448
2106805,2005,14008
2108801,2005,16529
2112506,2005,48123
2105351,2006,13233
2111631,2006,7263
2102408,2007,10557
2104628,2007,7312
2105922,2007,11007
2107605,2007,18368
2109056,2007,6243
2110104,2007,23639
2102556,2008,13388
2103703,2008,33734
2105948,2008,9071
2100204,2009,22164
2101707,2009,52965
2107357,2009,19616
2108306,2009,35726
2110005,2009,71662
2110203,2009,31946
2111300,2009,1017088
2111805,2009,17082
2100477,2010,32129
2101509,2010,17498
2103505,2010,39498
2105153,2010,12473
2108405,2010,14201
2109700,2010,5536
2111250,2010,7622
2100204,2011,21983
2102036,2011,28799
2102705,2011,20541
2111706,2011,21143
2102754,2012,10914
2108256,2012,23306
2108702,2012,22498
2109908,2012,84930
2108900,2013,20027
2109205,2013,11769
2100402,2014,7306
2100709,2014,25423
2101103,2014,11826
2101400,2014,89629
2103554,2015,15138
2104909,2015,11744
2100154,2016,12130
2100303,2016,24472
2104073,2016,8285
2109106,2016,46029
2105476,2017,16685
2112233,2017,22013
2105302,2018,270748
2109007,2018,23340
2102077,2019,13457
2102903,2019,24165
2105005,2020,27010
2105401,2020,63278
2109809,2020,42355
2111201,2020,228748
2112852,2020,10922
2100477,2021,27840
2101350,2021,5432
2103000,2021,163592
2109270,2021,17974
2109809,2021,42561
2111250,2021,7244
2100709,2022,26177
2101905,2022,20261
2101939,2022,5985
2104107,2022,12940
2107456,2022,13916
2111722,2022,9345
2100501,2023,11360
2101806,2023,5595
2102325,2023,57827
2103208,2023,83675
2111102,2023,25911
2103406,2002,45499
2103703,2002,35227
2104651,2002,10452
2105427,2002,24547
2105609,2002,15480
2111722,2002,9241
2108603,2003,73576
2105708,2004,43332
2109304,2004,9978
2112704,2004,42746
2100709,2005,22877
2101731,2005,6053
2107209,2005,10307
2111573,2005,4234
2100832,2006,13902
2101103,2006,11140
2101350,2006,5186
2103158,2006,8786
2104800,2006,56447
2106508,2006,21281
2108504,2006,30796
2112209,2006,148030
2104107,2007,12361
2109700,2007,5528
2111201,2007,144819
2100907,2008,42267
2104404,2008,17754
2109007,2008,20630
2100303,2009,23649
2107902,2009,17524
2108504,2009,31371
2109759,2009,7116
2112001,2009,7647
2104503,2011,10322
2105302,2011,250519
2107407,2011,18870
2108702,2011,22441
2102507,2012,18582
2105005,2012,26883
2109700,2012,5569
2110708,2012,34220
2100550,2013,6678
2103802,2013,23154
2103901,2013,10845
2108108,2013,20823
2108454,2013,21616
2111003,2013,20200
2104701,2014,6221
2110302,2014,14592
2102036,2015,29418
2105906,2015,15661
2106300,2015,16801
2110906,2015,12167
2111805,2015,17425
2101939,2016,5823
2102606,2016,19801
2103406,2016,46489
2109403,2016,14279
2109551,2016,7572
2110906,2016,12202
2108801,2017,18384
2111102,2017,25674
2101772,2018,11462
2103109,2018,10575
2103406,2018,45695
2111409,2018,19278
2111904,2018,10618
2105302,2019,273680
2106102,2019,11938
2110500,2019,45607
2111029,2019,13850
2111052,2019,10528
2105807,2020,10048
2106201,2020,7196
2106375,2020,14056
2108454,2020,21347
2101400,2021,101535
2104073,2021,8302
2109205,2021,11726
2111607,2021,18970
2111722,2021,9599
2111805,2021,17575
2110658,2022,8101
2111763,2022,15093
2101970,2023,7751
2105005,2023,26656
2105203,2023,10506
2100600,2002,34032
2103554,2002,11811
2108207,2002,41093
2109304,2002,9716
2112233,2002,18788
2102754,2003,10813
2111003,2003,19987
2111102,2003,24168
2105104,2004,23712
2105302,2004,244864
2105609,2004,15582
2107209,2004,9919
2107506,2004,85052
2101608,2005,80530
2102754,2005,10766
2107258,2005,4509
2109809,2005,34739
2109908,2005,80564
2111508,2005,38095
2100709,2006,23264
2103109,2006,10322
2103125,2006,7382
2103703,2006,34285
2103752,2006,12573
2104057,2006,31043
2104503,2006,9769
2105104,2006,24377
2111003,2006,20155
2111532,2006,11670
2102101,2007,32101
2106607,2007,31248
2111573,2007,4280
2104800,2008,59031
2106375,2008,12748
2108058,2008,13839
2112902,2008,31441
2102408,2009,10706
2103703,2009,33490
2103752,2009,12536
2104701,2009,6235
2105427,2009,25309
2105500,2009,24294
2105658,2009,5079
2105203,2010,10598
2106672,2010,8180
2108009,2010,18127
2108603,2010,78205
2110005,2010,71438
2111805,2010,17167
2112001,2010,7764
2112506,2010,52893
2103802,2011,22981
2105427,2011,25261
2106508,2011,22203
2111052,2011,10981
2111722,2011,12216
2111904,2011,10572
2112902,2011,31722
2102556,2012,13513
2107902,2012,17834
2111631,2012,6168
2100436,2013,25662
2108801,2013,18031
2105104,2014,25897
2105807,2014,10395
2105922,2014,11027
2106706,2014,21017
2101970,2015,7477
2111102,2015,25511
2105807,2016,10290
2108009,2016,18885
2110609,2016,27862
